hash,author,date,title,faultID,file
dbe50f0,argriffing,2015-05-26 16:33:39,Merge pull request #4912 from rgommers/fix-typo,4911
44b596e,Ralf Gommers,2015-05-26 22:30:02,MAINT: fix typo in stats tutorial.  Closes gh-4911.,4911
56cf073,Abraham Escalante,2015-05-24 14:40:56,MAINT: prepend underscore to mask_to_limits; delete masked_var.,585,scipy/stats/stats.py
7175e14,Maniteja Nandana,2015-05-10 23:01:07,DOC:Fix error in ode docstring example Fix print formatting error in ode docstring example. fixes #4772,4772,scipy/integrate/_ode.py
cf1f43f,Warren Weckesser,2015-05-09 12:22:41,BUG: signal: Make spectrogram's return values order match the docs and test.,4844,scipy/signal/spectral.py
7509169,Ralf Gommers,2015-05-09 15:07:25,TST: fix test failures in scipy.special with mingw32 due to test precision.,4840,scipy/special/tests/test_basic.py
7509169,Ralf Gommers,2015-05-09 15:07:25,TST: fix test failures in scipy.special with mingw32 due to test precision.,4840,scipy/special/tests/test_data.py
21483e7,Eric Moore,2015-05-05 08:52:48,BUG: Relaxed strides cleanup in decomp_update.pyx.in,4736,scipy/linalg/tests/test_decomp_update.py
6115c09,CJ Carey,2015-05-01 16:04:19,BUG: numpoints wasn't incremented for new points,4791
406e88a,CJ Carey,2015-05-01 14:39:56,TST: adding test case for #4791,4791,scipy/spatial/tests/test_qhull.py
e83e981,Thomas Robitaille,2015-04-10 17:27:24,BUG: io.idl: don’t crash if a pointer reference is not found in the heap.,4613,scipy/io/idl.py
67dce17,Denis Laxalde,2015-04-25 13:28:27,Merge pull request #4769 from Andreea-G/cobyla_rhoend,4726
5b802a1,Andreea_G,2015-04-24 18:40:13,Fixes #4726: test_cobyla.test_vector_constraints Set rhoend and tol as 1e-5 in test_cobyla for fmin_cobyla and minimize.,4726,scipy/optimize/tests/test_cobyla.py
bca1d9c,argriffing,2015-04-23 21:30:52,Merge pull request #4762 from Andreea-G/linprog_artificial,4746
4b9f1d4,Evgeni Burovski,2015-04-16 23:50:32,"DOC: special: TeX typesetting of rel_entr, kl_div and pseudo_huber",4732,scipy/special/add_newdocs.py
a7ded12,ldamewood,2015-04-13 11:46:51,MAINT: Fix gengamma _nump failure at large values of `a`,4724,scipy/stats/_continuous_distns.py
a7ded12,ldamewood,2015-04-13 11:46:51,MAINT: Fix gengamma _nump failure at large values of `a`,4724,scipy/stats/tests/test_distributions.py
643cd58,Eric Moore,2015-04-06 16:29:24,BUG: fix broadcasting in lfilter with some singleton dims.,4681,scipy/signal/tests/test_signaltools.py
ce9c441,Abraham Escalante,2015-04-05 00:23:56,ENH: added functionality to handle scalars in `stats._chk_asarray`,4550,scipy/stats/stats.py
ce9c441,Abraham Escalante,2015-04-05 00:23:56,ENH: added functionality to handle scalars in `stats._chk_asarray`,4550,scipy/stats/tests/test_stats.py
1dbecec,Clancy Rowley,2015-03-29 17:35:17,Rework lsim; fixes #2652 and #1104,2652,scipy/signal/ltisys.py
d3431cd,Clancy Rowley,2015-03-29 17:17:26,Add tests showing problems with lsim,2652,scipy/signal/tests/test_ltisys.py
8a6e358,Abraham Escalante,2015-03-21 18:36:05,DEP: deprecate scipy.stats.signaltonoise,609,scipy/stats/stats.py
8a6e358,Abraham Escalante,2015-03-21 18:36:05,DEP: deprecate scipy.stats.signaltonoise,609,scipy/stats/tests/test_stats.py
7f5f2f3,Maniteja Nandana,2015-03-21 00:54:07,"DOC: Fix the error in convolve for same mode In the tutorial for same mode, it was incorrectly mentioned that the convolve output has the same length as the largest input instead of the first input. fixes #4640",4640
dd18ccc,Maniteja Nandana,2015-03-14 17:56:50,MAINT: Fix convergence message for remez,4569
83741a0,Evgeni Burovski,2015-03-14 10:22:50,Merge pull request #4620 from gmcastil/fix-arpack-eigen,4590
c3baa71,Ralf Gommers,2015-03-14 11:11:05,Merge pull request #4619 from aeklant/issue_#4550,4550
8624f69,Evgeni Burovski,2015-03-13 22:27:27,Merge pull request #4629 from woodscn/fix_nquad_bug,4599
0424edc,George Castillo,2015-03-10 19:25:38,BUG: Fix issue (#4590) with svds not checking for invalid eigenvalue parameter,4590,scipy/sparse/linalg/eigen/arpack/arpack.py
0424edc,George Castillo,2015-03-10 19:25:38,BUG: Fix issue (#4590) with svds not checking for invalid eigenvalue parameter,4590,scipy/sparse/linalg/eigen/arpack/tests/test_arpack.py
2157c66,Abraham Escalante,2015-03-10 18:38:15,ENH: add capability for stats.mode to handle empty arrays as parameters.,4550,scipy/stats/stats.py
2157c66,Abraham Escalante,2015-03-10 18:38:15,ENH: add capability for stats.mode to handle empty arrays as parameters.,4550,scipy/stats/tests/test_stats.py
a083d15,Matěj Kocián,2015-03-10 23:41:41,FIX: Raise error when window length != data length,3603,scipy/signal/signaltools.py
6d07cd0,Eric Moore,2015-03-10 10:57:52,"BUG: lfilter, the size of zi was not checked correctly or nd in.",4612,scipy/signal/tests/test_signaltools.py
bfbc352,CJ Carey,2015-03-02 17:40:59,DOC: optimize: remove references to disp kwarg,4582,scipy/optimize/optimize.py
d4e9201,Jonas Hahnfeld,2015-03-02 13:41:59,uses_mkl: Fix broken check when linking against libmkl_rt.so,4521,scipy/_build_utils/_fortran.py
ec15a93,Jonas Hahnfeld,2015-03-02 13:34:33,g77_abi_wrapper: Enable wrapper for Intel MKL on Linux,4520,scipy/_build_utils/_fortran.py
5a73d31,Ralf Gommers,2015-02-15 04:37:19,ENH: rewrite of stats.ppcc_plot.  Closes gh-679.,679,scipy/stats/morestats.py
97f34c5,Ralf Gommers,2015-02-26 17:08:38,DEP: deprecate stats.fastsort.  Closes gh-667.,667,scipy/stats/stats.py
3b6afc3,Rupak,2015-01-15 10:47:54,ENH: stats: increase accuracy of gompertz distribution for small x.,4031,scipy/stats/_continuous_distns.py
3b6afc3,Rupak,2015-01-15 10:47:54,ENH: stats: increase accuracy of gompertz distribution for small x.,4031,scipy/stats/tests/test_distributions.py
ea703b7,maniteja123,2015-01-23 03:16:21,"ENH: Improve rayleigh accuracy for large x.closes #4034 Included tests for rayleigh, lomax and truncexpon distributions",4034,scipy/stats/tests/test_distributions.py
76f257e,Pauli Virtanen,2015-01-20 10:46:30,DOC: optimize: fix wrong result in docstring,4438,scipy/optimize/_linprog.py
c88c142,maniteja123,2015-01-18 07:25:08,ENH: Updated tests for lomax and rayleigh accuracy Take care of floating point comparison in tests.closes #4034,4034,scipy/stats/_continuous_distns.py
c88c142,maniteja123,2015-01-18 07:25:08,ENH: Updated tests for lomax and rayleigh accuracy Take care of floating point comparison in tests.closes #4034,4034,scipy/stats/tests/test_distributions.py
bcb7c3a,Ralf Gommers,2015-01-18 17:38:31,BLD: fix build failure with numpy 1.7.x and 1.8.x.,4417
515fa79,maniteja123,2015-01-18 05:08:01,ENH: Improve accuracy of truncexpon for small x. closes #4035,4035,scipy/stats/_continuous_distns.py
515fa79,maniteja123,2015-01-18 05:08:01,ENH: Improve accuracy of truncexpon for small x. closes #4035,4035,scipy/stats/tests/test_distributions.py
5bae3f1,argriffing,2015-01-17 17:54:07,Merge pull request #4416 from rgommers/splilu-doc-issue-4393,4393
e2e3f0a,Ralf Gommers,2015-01-17 10:22:16,DOC: correct a parameter name in docstring of SuperLU.solve.  Closes gh-4393.,4393,scipy/sparse/linalg/dsolve/_add_newdocs.py
3622154,maniteja123,2015-01-16 14:11:17,ENH: Improve accuracy of lomax. Closes #4033,4033,scipy/stats/_continuous_distns.py
3622154,maniteja123,2015-01-16 14:11:17,ENH: Improve accuracy of lomax. Closes #4033,4033,scipy/stats/tests/test_distributions.py
45bd13d,Maniteja Nandana,2015-01-16 23:53:23,DOC:scipy.signal.cwt documentation.closes #4412,4412,scipy/signal/wavelets.py
fa5f390,Eric Moore,2015-01-16 09:01:35,"BUG: Tests too strict, f2py doesn't have to overwrite this array",4410,scipy/linalg/tests/test_blas.py
4a38353,Andreas Mayer,2015-01-13 15:45:13,BUG: fix argcheck of stat.hypergeom,2325,scipy/stats/_discrete_distns.py
51ef0bf,Andreas Mayer,2015-01-13 14:51:54,TST: add tests of stat.hypergeom for corner cases (Issue #2325),2325,scipy/stats/tests/test_distributions.py
84ddf80,Denis Laxalde,2015-01-10 13:47:19,Merge pull request #4385 from andyfaff/nit,3855
a13e116,Ralf Gommers,2015-01-01 15:28:02,MAINT: remove optimize.anneal for 0.16.0 (was deprecated in 0.14.0).,1653,scipy/optimize/__init__.py
a13e116,Ralf Gommers,2015-01-01 15:28:02,MAINT: remove optimize.anneal for 0.16.0 (was deprecated in 0.14.0).,1653,scipy/optimize/_minimize.py
a13e116,Ralf Gommers,2015-01-01 15:28:02,MAINT: remove optimize.anneal for 0.16.0 (was deprecated in 0.14.0).,1653,scipy/optimize/anneal.py
a13e116,Ralf Gommers,2015-01-01 15:28:02,MAINT: remove optimize.anneal for 0.16.0 (was deprecated in 0.14.0).,1653,scipy/optimize/optimize.py
a13e116,Ralf Gommers,2015-01-01 15:28:02,MAINT: remove optimize.anneal for 0.16.0 (was deprecated in 0.14.0).,1653,scipy/optimize/tests/test__basinhopping.py
a13e116,Ralf Gommers,2015-01-01 15:28:02,MAINT: remove optimize.anneal for 0.16.0 (was deprecated in 0.14.0).,1653,scipy/optimize/tests/test_anneal.py
a13e116,Ralf Gommers,2015-01-01 15:28:02,MAINT: remove optimize.anneal for 0.16.0 (was deprecated in 0.14.0).,1653,scipy/optimize/tests/test_optimize.py
a13e116,Ralf Gommers,2015-01-01 15:28:02,MAINT: remove optimize.anneal for 0.16.0 (was deprecated in 0.14.0).,1653,scipy/optimize/zeros.py
7b8a4c2,Eric Moore,2014-05-23 16:02:38,BUG: fix sporadic slepian failures,3675,scipy/signal/windows.py
4cc2be7,bewithaman,2014-12-29 16:36:34,MAINT: Implement stats.betaprime.cdf,4030,scipy/stats/_continuous_distns.py
4cc2be7,bewithaman,2014-12-29 16:36:34,MAINT: Implement stats.betaprime.cdf,4030,scipy/stats/tests/test_distributions.py
e4e9284,argriffing,2014-12-26 14:28:44,Merge pull request #4310 from bewithaman/master,4028
c18beb4,Aman Singh,2014-12-24 16:59:27,BUG#4028,4028,scipy/stats/_discrete_distns.py
aed6d2f,Aman Singh,2014-12-24 16:29:28,BUG#4028,4028,scipy/stats/_discrete_distns.py
69568c4,bewithaman,2014-12-24 15:28:22,'BUG:4028',4028,scipy/stats/_discrete_distns.py
69568c4,bewithaman,2014-12-24 15:28:22,'BUG:4028',4028,scipy/stats/tests/test_distributions.py
f564c70,Gregory R. Lee,2014-10-09 16:36:34,"TST: add test for special.diric, including values near 2*pi (see gh-4001)",4001,scipy/special/basic.py
f564c70,Gregory R. Lee,2014-10-09 16:36:34,"TST: add test for special.diric, including values near 2*pi (see gh-4001)",4001,scipy/special/tests/test_basic.py
2077254,argriffing,2014-12-18 17:32:33,Merge pull request #4287 from rgommers/deprecate-pdffromgamma,699
