FileName,File_sloc,File_in_degree,File_out_degree,File_Cyclomatic_Complexity,File_Max_Cyclomatic_Complexity
E:\Source code on python\web framework\boto\boto-2.2.0\boto\sdb\db\query.py,53,0,0,1,3
E:\Source code on python\web framework\boto\boto-2.2.0\boto\sts\__init__.py,40,2,0,1,3
E:\Source code on python\web framework\boto\boto-2.2.0\boto\sts\connection.py,96,8,0,1,3
E:\Source code on python\web framework\boto\boto-2.2.0\boto\sqs\regioninfo.py,6,1,0,1,1
E:\Source code on python\web framework\boto\boto-2.2.0\boto\services\message.py,34,5,0,1,5
E:\Source code on python\web framework\boto\boto-2.2.0\boto\services\service.py,117,8,0,1,4
E:\Source code on python\web framework\boto\boto-2.2.0\boto\sqs\connection.py,271,7,0,1,3
E:\Source code on python\web framework\boto\boto-2.2.0\boto\services\sonofmmm.py,53,5,0,1,4
E:\Source code on python\web framework\boto\boto-2.2.0\boto\sdb\db\key.py,28,0,0,1,2
E:\Source code on python\web framework\boto\boto-2.2.0\boto\ses\exceptions.py,33,1,1,1,1
E:\Source code on python\web framework\boto\boto-2.2.0\boto\route53\connection.py,254,11,0,1,5
E:\Source code on python\web framework\boto\boto-2.2.0\boto\route53\exception.py,3,1,1,1,1
E:\Source code on python\web framework\boto\boto-2.2.0\boto\services\servicedef.py,59,3,0,1,6
E:\Source code on python\web framework\boto\boto-2.2.0\boto\sns\__init__.py,58,2,0,1,3
E:\Source code on python\web framework\boto\boto-2.2.0\boto\manage\task.py,129,9,0,1,8
E:\Source code on python\web framework\boto\boto-2.2.0\boto\services\submit.py,60,2,0,1,12
E:\Source code on python\web framework\boto\boto-2.2.0\boto\mturk\test\create_hit_with_qualifications.py,14,4,2,2,2
E:\Source code on python\web framework\boto\boto-2.2.0\boto\manage\__init__.py,0,0,0,1,1
E:\Source code on python\web framework\boto\boto-2.2.0\boto\pyami\installers\ubuntu\mysql.py,63,6,0,1,6
E:\Source code on python\web framework\boto\boto-2.2.0\boto\utils.py,590,20,13,3,12
E:\Source code on python\web framework\boto\boto-2.2.0\boto\pyami\helloworld.py,4,1,0,1,1
E:\Source code on python\web framework\boto\boto-2.2.0\boto\pyami\bootstrap.py,95,8,0,2,7
E:\Source code on python\web framework\boto\boto-2.2.0\boto\sqs\jsonmessage.py,21,5,0,2,2
E:\Source code on python\web framework\boto\boto-2.2.0\boto\sns\connection.py,347,6,0,2,3
E:\Source code on python\web framework\boto\boto-2.2.0\boto\services\__init__.py,0,0,0,1,1
E:\Source code on python\web framework\boto\boto-2.2.0\boto\gs\__init__.py,0,0,0,1,1
E:\Source code on python\web framework\boto\boto-2.2.0\boto\mashups\interactive.py,61,4,0,2,7
E:\Source code on python\web framework\boto\boto-2.2.0\boto\iam\__init__.py,1,1,0,1,1
E:\Source code on python\web framework\boto\boto-2.2.0\boto\https_connection.py,87,5,1,1,3
E:\Source code on python\web framework\boto\boto-2.2.0\boto\file\bucket.py,70,4,0,1,3
E:\Source code on python\web framework\boto\boto-2.2.0\boto\mturk\test\common.py,36,8,0,1,1
E:\Source code on python\web framework\boto\boto-2.2.0\boto\mturk\test\test_disable_hit.py,8,3,0,2,2
E:\Source code on python\web framework\boto\boto-2.2.0\boto\ecs\item.py,105,3,0,1,6
E:\Source code on python\web framework\boto\boto-2.2.0\boto\handler.py,18,1,15,1,2
E:\Source code on python\web framework\boto\boto-2.2.0\boto\ses\__init__.py,39,2,0,1,3
E:\Source code on python\web framework\boto\boto-2.2.0\boto\manage\cmdshell.py,188,9,1,1,6
E:\Source code on python\web framework\boto\boto-2.2.0\boto\route53\record.py,137,1,0,1,7
E:\Source code on python\web framework\boto\boto-2.2.0\boto\iam\connection.py,775,4,0,1,4
E:\Source code on python\web framework\boto\boto-2.2.0\boto\fps\test\__init__.py,0,0,0,1,1
E:\Source code on python\web framework\boto\boto-2.2.0\boto\fps\connection.py,346,12,0,1,11
E:\Source code on python\web framework\boto\boto-2.2.0\boto\ec2\spotpricehistory.py,27,1,0,1,6
E:\Source code on python\web framework\boto\boto-2.2.0\boto\s3\multidelete.py,94,2,0,1,6
E:\Source code on python\web framework\boto\boto-2.2.0\boto\ec2\elb\listener.py,40,0,0,1,5
E:\Source code on python\web framework\boto\boto-2.2.0\boto\vpc\dhcpoptions.py,38,1,0,1,3
E:\Source code on python\web framework\boto\boto-2.2.0\boto\sqs\batchresults.py,58,0,0,1,7
E:\Source code on python\web framework\boto\boto-2.2.0\boto\ec2\instanceinfo.py,23,0,0,1,3
E:\Source code on python\web framework\boto\boto-2.2.0\boto\ec2\buyreservation.py,55,4,0,4,4
E:\Source code on python\web framework\boto\boto-2.2.0\boto\vpc\vpnconnection.py,32,1,0,1,7
E:\Source code on python\web framework\boto\boto-2.2.0\boto\vpc\routetable.py,71,2,0,1,5
E:\Source code on python\web framework\boto\boto-2.2.0\boto\ec2\autoscale\request.py,13,0,0,1,2
E:\Source code on python\web framework\boto\boto-2.2.0\boto\ec2\autoscale\launchconfig.py,134,4,0,1,12
E:\Source code on python\web framework\boto\boto-2.2.0\boto\ec2\bundleinstance.py,50,1,0,1,13
E:\Source code on python\web framework\boto\boto-2.2.0\boto\s3\lifecycle.py,87,2,0,1,5
E:\Source code on python\web framework\boto\boto-2.2.0\boto\route53\hostedzone.py,28,0,1,1,6
E:\Source code on python\web framework\boto\boto-2.2.0\boto\ec2\autoscale\scheduled.py,32,1,0,1,8
E:\Source code on python\web framework\boto\boto-2.2.0\boto\ec2\autoscale\policy.py,105,2,0,1,7
