FileName,File_sloc,File_in_degree,File_out_degree,File_Cyclomatic_Complexity,File_Max_Cyclomatic_Complexity
E:\Source code on python\Other\bzr-1.14\tools\win32\ostools.py,86,4,0,2,23
E:\Source code on python\Other\bzr-1.14\tools\rst2pdf.py,65,8,0,4,4
E:\Source code on python\Other\bzr-1.14\tools\rst2html.py,30,6,0,3,3
E:\Source code on python\Other\bzr-1.14\tools\win32\bzr-win32-bdist-postinstall.py,88,5,0,11,11
E:\Source code on python\Other\bzr-1.14\tools\doc_generate\autodoc_bash_completion.py,21,6,0,1,1
E:\Source code on python\Other\bzr-1.14\tools\http_client.py,274,12,0,3,10
E:\Source code on python\Other\bzr-1.14\tools\win32\file_version.py,25,3,0,1,3
E:\Source code on python\Other\bzr-1.14\tools\doc_generate\autodoc_man.py,199,8,1,1,10
E:\Source code on python\Other\bzr-1.14\tools\biobench.py,65,14,0,3,3
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\test_branchbuilder.py,270,4,0,1,1
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\per_repository\test_check.py,69,5,0,1,2
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\per_repository\test_fetch.py,113,7,0,1,4
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\per_repository\test_fileid_involved.py,212,8,0,1,4
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\per_repository_chk\test_unsupported.py,9,1,0,1,1
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\per_repository\test_has_revisions.py,19,2,0,1,1
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\test_lockable_files.py,314,19,0,1,2
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\test_lru_cache.py,308,1,0,1,1
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\test_reconcile.py,34,8,0,1,1
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\test_patch.py,9,3,0,1,1
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\test_subsume.py,84,4,0,1,2
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\commands\test_commit.py,36,5,0,1,1
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\commands\test_checkout.py,15,2,0,1,1
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\branch_implementations\test_pull.py,146,8,0,1,2
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\commands\test_merge.py,15,3,0,1,1
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\bzrdir_implementations\test_push.py,42,2,0,1,1
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\commands\test_push.py,20,2,0,1,1
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\test_filters.py,106,13,0,1,1
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\test_counted_lock.py,159,6,0,1,3
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\test_directory_service.py,66,7,0,1,1
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\test_graph.py,1019,5,0,1,8
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\test_gpg.py,51,6,0,1,2
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\test_generate_docs.py,29,3,0,1,2
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\EncodingAdapter.py,66,2,0,1,1
E:\Source code on python\Other\bzr-1.14\bzrlib\transport\brokenrename.py,30,5,0,1,3
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\branch_implementations\test_parent.py,61,7,0,1,4
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\blackbox\test_merge_directive.py,202,5,0,1,1
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\test_fifo_cache.py,260,1,0,1,1
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\blackbox\test_whoami.py,82,4,0,1,3
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\test_generate_ids.py,96,2,0,1,1
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\test_globbing.py,265,4,0,1,5
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\test_email_message.py,168,6,0,1,3
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\test_decorators.py,200,3,0,1,3
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\per_repository\test_is_write_locked.py,16,1,0,1,1
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\intertree_implementations\test_compare.py,1243,8,0,1,4
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\ftp_server\__init__.py,48,3,0,5,5
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\branch_implementations\test_reconcile.py,35,3,0,1,3
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\branch_implementations\test_commit.py,169,6,0,1,2
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\blackbox\test_version_info.py,106,2,0,1,3
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\interrepository_implementations\__init__.py,117,9,0,1,5
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\test_nonascii.py,126,9,0,1,4
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\file_utils.py,25,1,0,1,1
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\fake_command.py,4,1,1,1,1
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\commands\test_missing.py,14,2,0,1,1
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\commands\test_update.py,16,3,0,1,1
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\commands\test_init.py,12,2,0,1,1
E:\Source code on python\Other\bzr-1.14\bzrlib\tests\blackbox\test_tags.py,156,6,0,1,1
