FileName,File_sloc,File_in_degree,File_out_degree,File_Cyclomatic_Complexity,File_Max_Cyclomatic_Complexity
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\branch_implementations\test_parent.py,61,7,0,1,4
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\branch_implementations\test_create_checkout.py,38,3,0,1,1
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\test_ancestry.py,20,6,0,1,1
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\file_utils.py,25,1,0,1,1
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\test_hashcache.py,147,10,0,1,2
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\commands\test_merge.py,15,3,0,1,1
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\test_http_response.py,610,6,0,1,2
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\blackbox\test_break_lock.py,50,7,0,1,1
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\blackbox\test_branch.py,188,10,0,1,2
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\blackbox\test_bound_branches.py,247,12,0,1,1
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\blackbox\test_annotate.py,141,2,0,1,1
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\branch_implementations\test_hooks.py,239,6,0,1,2
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\branch_implementations\test_http.py,39,7,0,1,2
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\commands\test_commit.py,29,5,0,1,1
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\test_tag.py,108,10,0,1,1
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\test_progress.py,208,10,0,1,4
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\test_rio.py,316,14,0,1,3
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\branch_implementations\test_stacking.py,246,6,0,1,3
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\per_repository_reference\test_break_lock.py,25,3,0,1,2
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\blackbox\test_revno.py,24,3,0,1,1
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\blackbox\test_reconcile.py,61,8,0,1,2
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\blackbox\test_revision_info.py,43,5,0,1,1
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\blackbox\test_switch.py,38,2,0,1,1
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\blackbox\test_re_sign.py,55,5,0,1,1
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\blackbox\test_outside_wt.py,51,3,0,1,1
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\blackbox\test_revision_history.py,49,3,0,1,1
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\test_atomicfile.py,101,9,0,1,2
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\test_chunk_writer.py,59,3,0,1,4
E:\Source code on python\Other\bzr-1.7\bzrlib\store\versioned\__init__.py,190,16,0,1,7
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\test_textmerge.py,22,2,0,1,1
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\branch_implementations\test_push.py,181,10,0,1,5
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\branch_implementations\test_pull.py,146,8,0,1,2
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\branch_implementations\test_bound_sftp.py,206,13,0,1,2
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\test_info.py,241,7,0,1,7
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\repository_implementations\test_iter_reverse_revision_history.py,110,3,0,1,2
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\test_ignores.py,121,7,0,1,1
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\test_dirstate.py,2039,12,1,1,4
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\repository_implementations\test_has_revisions.py,19,2,0,1,1
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\per_lock\test_lock.py,111,3,0,1,4
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\repository_implementations\test_check.py,69,5,0,1,2
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\repository_implementations\test_check_reconcile.py,170,6,0,1,5
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\test_status.py,83,6,0,1,1
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\test_wsgi.py,200,5,0,1,2
E:\Source code on python\Other\bzr-1.7\bzrlib\tests\test_index.py,997,4,0,1,3
