FileName,File_sloc,File_in_degree,File_out_degree,File_Cyclomatic_Complexity,File_Max_Cyclomatic_Complexity
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\per_repository\test_iter_reverse_revision_history.py,128,3,0,1,2
E:\Source code on python\Other\bzr-2.0.0\bzrlib\xml6.py,10,1,6,1,1
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\per_workingtree\test_nested_specifics.py,44,3,0,1,2
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\per_repository\test_revision.py,78,1,0,1,1
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\per_repository_reference\test_default_stacking.py,14,2,0,1,1
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\per_workingtree\test_annotate_iter.py,158,5,0,1,1
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\per_tree\test_list_files.py,90,1,0,1,1
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\per_workingtree\test_pull.py,33,9,0,1,1
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\per_repository\test_has_same_location.py,83,4,0,1,3
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\blackbox\test_ls.py,188,3,0,1,3
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\blackbox\test_merge.py,502,12,0,1,3
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\blackbox\test_logformats.py,61,3,0,1,2
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\per_interbranch\test_update_revisions.py,39,2,0,1,1
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\blackbox\test_join.py,57,4,0,1,1
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\test_fifo_cache.py,260,1,0,1,1
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\blackbox\test_hooks.py,29,2,0,1,2
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\test_nonascii.py,126,9,0,1,4
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\blackbox\test_init.py,134,9,0,1,2
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\blackbox\test_help.py,120,4,0,1,3
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\test_delta.py,286,4,0,1,3
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\test_crash.py,31,6,0,1,2
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\test_generate_ids.py,96,2,0,1,1
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\test_email_message.py,168,6,0,1,3
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\test_lsprof.py,55,3,1,1,2
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\test_knit.py,2119,40,0,1,5
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\test_multiparent.py,208,4,0,1,1
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\test_setup.py,47,9,0,1,4
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\test_version_info.py,265,11,0,1,3
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\commands\test_init_repository.py,12,2,0,1,1
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\commands\test_checkout.py,15,2,0,1,1
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\blackbox\test_update.py,140,5,0,1,1
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\blackbox\test_tags.py,156,6,0,1,1
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\blackbox\test_versioning.py,112,7,0,1,1
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\blackbox\test_whoami.py,82,4,0,1,3
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\commands\test_branch.py,19,2,0,1,1
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\blackbox\test_split.py,39,5,0,1,1
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\test_commit_merge.py,78,10,0,1,1
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\ssl_certs\__init__.py,8,1,0,1,1
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\test_atomicfile.py,101,9,0,1,2
E:\Source code on python\Other\bzr-2.0.0\tools\win32\bootstrap.py,51,9,0,4,4
E:\Source code on python\Other\bzr-2.0.0\tools\generate_release_notes.py,52,3,0,2,5
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\blackbox\test_missing.py,125,4,0,1,3
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\test_debug.py,32,6,0,1,2
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\blackbox\test_dpush.py,89,10,0,1,2
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\blackbox\test_debug.py,16,5,0,1,1
E:\Source code on python\Other\bzr-2.0.0\bzrlib\lru_cache.py,290,2,4,1,10
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\test_filters.py,108,13,0,1,1
E:\Source code on python\Other\bzr-2.0.0\bzrlib\patch.py,72,6,1,2,4
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\per_branch\test_tags.py,116,16,0,1,2
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\blackbox\test_info.py,1164,11,0,1,9
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\blackbox\test_locale.py,48,4,0,1,2
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\ftp_server\__init__.py,48,3,0,5,5
E:\Source code on python\Other\bzr-2.0.0\bzrlib\smtp_connection.py,119,10,1,1,9
E:\Source code on python\Other\bzr-2.0.0\bzrlib\smart\vfs.py,138,3,2,1,3
E:\Source code on python\Other\bzr-2.0.0\bzrlib\serializer.py,61,1,4,1,1
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\blackbox\test_lsprof.py,12,1,0,1,1
E:\Source code on python\Other\bzr-2.0.0\bzrlib\status.py,227,12,1,1,19
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\per_workingtree\test_merge_from_branch.py,87,4,0,1,1
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\per_lock\test_lock.py,122,4,0,1,4
E:\Source code on python\Other\bzr-2.0.0\bzrlib\missing.py,161,4,1,1,6
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\per_inventory\basics.py,313,8,0,1,2
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\per_workingtree\test_uncommit.py,17,6,0,1,1
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\per_workingtree\test_revision_tree.py,52,2,0,1,2
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\commands\__init__.py,22,0,0,1,1
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\commands\test_init.py,12,2,0,1,1
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\commands\test_commit.py,36,5,0,1,1
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\per_branch\test_update.py,68,3,0,1,2
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\per_interbranch\__init__.py,111,12,0,1,3
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\per_repository_reference\test_initialize.py,31,2,0,1,1
E:\Source code on python\Other\bzr-2.0.0\bzrlib\tests\per_repository\test_find_text_key_references.py,8,1,0,1,1
