FileName,File_sloc,File_in_degree,File_out_degree,File_Cyclomatic_Complexity,File_Max_Cyclomatic_Complexity
E:\Source code on python\Other\bzr-2.1.0\bzrlib\tests\blackbox\test_add.py,166,7,0,1,1
E:\Source code on python\Other\bzr-2.1.0\bzrlib\tests\blackbox\test_lsprof.py,12,1,0,1,1
E:\Source code on python\Other\bzr-2.1.0\bzrlib\tests\test_smtp_connection.py,208,9,0,1,2
E:\Source code on python\Other\bzr-2.1.0\bzrlib\tests\test_strace.py,54,6,0,1,3
E:\Source code on python\Other\bzr-2.1.0\doc\developers\conf.py,39,3,0,1,1
E:\Source code on python\Other\bzr-2.1.0\bzrlib\tests\per_workingtree\test_nested_specifics.py,44,3,0,1,2
E:\Source code on python\Other\bzr-2.1.0\bzrlib\tests\test_setup.py,47,9,0,1,4
E:\Source code on python\Other\bzr-2.1.0\bzrlib\tests\per_workingtree\test_mkdir.py,16,1,0,1,1
E:\Source code on python\Other\bzr-2.1.0\bzrlib\tests\blackbox\test_join.py,57,4,0,1,1
E:\Source code on python\Other\bzr-2.1.0\bzrlib\tests\blackbox\test_ls.py,189,3,0,1,3
E:\Source code on python\Other\bzr-2.1.0\bzrlib\tests\blackbox\test_logformats.py,61,3,0,1,2
E:\Source code on python\Other\bzr-2.1.0\bzrlib\tests\blackbox\test_modified.py,32,3,0,1,2
E:\Source code on python\Other\bzr-2.1.0\bzrlib\tests\blackbox\test_cat.py,133,1,0,1,1
E:\Source code on python\Other\bzr-2.1.0\bzrlib\smart\client.py,177,6,8,1,7
E:\Source code on python\Other\bzr-2.1.0\bzrlib\tests\blackbox\test_aliases.py,41,6,0,1,2
E:\Source code on python\Other\bzr-2.1.0\bzrlib\tests\blackbox\test_branch.py,303,14,0,1,2
E:\Source code on python\Other\bzr-2.1.0\bzrlib\tests\blackbox\test_log.py,869,4,0,1,3
E:\Source code on python\Other\bzr-2.1.0\bzrlib\plugins\news_merge\news_merge.py,50,3,1,1,6
E:\Source code on python\Other\bzr-2.1.0\bzrlib\plugins\launchpad\account.py,64,5,3,1,5
E:\Source code on python\Other\bzr-2.1.0\bzrlib\plugins\netrc_credential_store\tests\test_netrc.py,54,4,0,1,1
E:\Source code on python\Other\bzr-2.1.0\bzrlib\textmerge.py,105,1,0,1,6
