FileName,File_sloc,File_in_degree,File_out_degree,File_Cyclomatic_Complexity,File_Max_Cyclomatic_Complexity
E:\Source code on python\web framework\django\django-1.6\django-1.6\django\test\_doctest.py,1943,16,1,3,26
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\urlpatterns_reverse\views_broken.py,1,0,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\utils_tests\__init__.py,0,0,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\transactions\models.py,19,2,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\urlpatterns_reverse\included_namespace_urls.py,16,6,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\urlpatterns_reverse\included_urls2.py,13,4,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\transactions_regress\__init__.py,0,0,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\urlpatterns_reverse\named_urls.py,9,5,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\urlpatterns_reverse\included_named_urls2.py,8,4,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\timezones\admin.py,9,3,1,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\unmanaged_models\tests.py,44,10,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\test_runner_deprecation_app\models.py,1,0,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\timezones\forms.py,17,1,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\user_commands\tests.py,53,5,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\template_tests\test_nodelist.py,51,5,0,1,3
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\utils_tests\test_tzinfo.py,64,7,0,1,3
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\template_tests\test_unicode.py,19,7,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\validation\test_validators.py,15,4,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\test_runner_deprecation_app\__init__.py,0,0,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\template_tests\test_callables.py,69,2,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\test_client_regress\session.py,23,1,0,1,2
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\template_tests\templatetags\subpackage\echo_invalid.py,1,1,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\test_runner_invalid_app\__init__.py,0,0,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\template_tests\templatetags\subpackage\echo.py,5,0,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\utils_tests\test_baseconv.py,35,9,0,1,3
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\urlpatterns_reverse\no_urls.py,0,0,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\utils_tests\test_text.py,92,4,0,1,2
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\urlpatterns_reverse\urlconf_outer.py,7,5,1,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\view_tests\urls.py,51,6,1,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\null_queries\__init__.py,0,0,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\ordering\__init__.py,0,0,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\pagination\models.py,8,1,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\proxy_models\tests.py,284,30,0,1,2
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\queryset_pickle\__init__.py,0,0,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\proxy_models\models.py,127,1,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\reverse_single_related\models.py,9,0,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\responses\__init__.py,0,0,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\queryset_pickle\models.py,32,3,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\middleware\urls.py,6,1,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\m2m_and_m2o\__init__.py,0,0,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\i18n\patterns\__init__.py,0,0,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\i18n\other\locale\de\formats.py,0,0,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\known_related_objects\models.py,16,0,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\i18n\tests.py,1024,73,0,3,3
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\i18n\urls.py,8,5,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\template_tests\loaders.py,118,12,0,2,2
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\text\__init__.py,0,0,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\urlpatterns_reverse\urls_error_handlers_callables.py,7,3,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\servers\views.py,13,2,1,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\null_fk_ordering\tests.py,26,7,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\handlers\views.py,15,5,1,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\handlers\models.py,0,0,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\handlers\tests.py,98,12,0,1,2
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\i18n\commands\compilation.py,77,7,0,1,2
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\i18n\commands\__init__.py,5,2,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\many_to_one\__init__.py,0,0,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\defer\__init__.py,0,0,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\signing\models.py,0,0,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\generic_relations_regress\models.py,117,3,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\logging_tests\views.py,6,3,1,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\modeladmin\tests.py,1026,22,0,1,2
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\forms_tests\tests\test_util.py,38,9,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\forms_tests\tests\test_media.py,686,3,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\comment_tests\urls_default.py,6,2,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\admin_scripts\management\commands\label_command.py,7,1,0,1,1
E:\Source code on python\web framework\django\django-1.6\django-1.6\docs\_ext\applyxrefs.py,58,2,0,2,9
E:\Source code on python\web framework\django\django-1.6\django-1.6\tests\admin_scripts\custom_templates\project_template\project_name\__init__.py,0,0,0,1,1
