FileName,File_sloc,File_in_degree,File_out_degree,File_Cyclomatic_Complexity,File_Max_Cyclomatic_Complexity
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\mpl_toolkits\mplot3d\axes3d.py,1818,20,0,1,20
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\tests\test_streamplot.py,31,4,0,2,2
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\mpl_toolkits\axes_grid1\anchored_artists.py,115,12,0,2,2
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\mpl_toolkits\mplot3d\__init__.py,1,1,0,1,1
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\mpl_toolkits\mplot3d\proj3d.py,213,4,3,2,3
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\tests\test_backend_svg.py,33,8,0,1,2
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\tight_bbox.py,103,5,0,3,3
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\mpl_toolkits\axisartist\axisline_style.py,114,5,0,1,2
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\testing\jpl_units\__init__.py,58,8,0,1,1
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\stackplot.py,83,1,1,1,9
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\tri\triplot.py,50,6,1,1,3
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\tests\test_subplots.py,98,4,0,2,4
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\tests\test_dviread.py,41,2,0,1,6
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\mpl_toolkits\axes_grid\axes_size.py,1,1,1,1,1
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\tests\test_colorbar.py,136,10,0,2,4
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\tests\test_contour.py,132,6,0,2,3
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\tests\test_dates.py,194,11,0,2,2
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\tests\test_cbook.py,74,8,0,1,1
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\mpl_toolkits\axisartist\angle_helper.py,309,5,4,3,13
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\mpl_toolkits\axisartist\__init__.py,13,18,0,1,1
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\tests\test_lines.py,45,6,0,1,1
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\tests\test_text.py,142,9,0,1,3
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\tri\__init__.py,12,9,0,1,1
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\tests\test_spines.py,29,5,0,1,1
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\mpl_toolkits\axes_grid1\__init__.py,5,10,0,1,1
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\tests\test_triangulation.py,671,6,0,1,7
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\tests\test_ttconv.py,17,5,0,1,1
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\tests\test_sankey.py,7,2,0,2,2
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\tests\test_path.py,10,2,0,2,2
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\tests\test_backend_pgf.py,123,12,0,2,3
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\tests\test_transforms.py,330,15,0,2,2
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\mpl_toolkits\axes_grid\axis_artist.py,1,1,0,1,1
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\quiver.py,817,14,0,1,13
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\testing\__init__.py,1,1,0,1,1
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\testing\jpl_units\UnitDblFormatter.py,23,2,0,1,2
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\testing\jpl_units\UnitDbl.py,188,1,0,1,4
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\pylab.py,3,2,0,1,1
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\tests\test_compare_images.py,53,5,0,1,2
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\tests\test_backend_pdf.py,46,7,0,3,3
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\tests\__init__.py,47,9,0,2,3
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\testing\compare.py,266,12,0,4,8
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\tests\test_tightlayout.py,105,4,0,1,2
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\tests\test_animation.py,35,8,0,2,2
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\mpl_toolkits\axes_grid\axes_divider.py,4,6,0,1,1
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\tests\test_patches.py,151,10,0,2,2
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\testing\image_util.py,55,2,0,1,15
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\tests\test_arrow_patches.py,22,4,0,2,3
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\mpl_toolkits\axes_grid\angle_helper.py,1,1,0,1,1
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\mpl_toolkits\axes_grid1\axes_rgb.py,105,4,0,1,9
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\mpl_toolkits\axes_grid\axes_grid.py,20,2,0,1,2
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\tests\test_ticker.py,35,4,0,2,2
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\backends\tkagg.py,30,2,0,1,5
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\examples\pylab_examples\figimage_demo.py,14,4,0,1,1
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\examples\event_handling\trifinder_event_demo.py,48,5,0,1,2
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\examples\pylab_examples\zorder_demo.py,32,1,0,1,1
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\examples\user_interfaces\embedding_in_wx2.py,50,6,0,1,2
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\examples\pylab_examples\scatter_profile.py,18,3,0,2,2
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\examples\pylab_examples\stackplot_demo.py,12,2,0,1,1
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\examples\pylab_examples\stock_demo.py,13,3,0,1,1
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\examples\pylab_examples\mathtext_examples.py,96,6,0,3,3
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\examples\pylab_examples\pythonic_matplotlib.py,59,0,0,2,2
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\examples\pylab_examples\webapp_demo.py,37,3,0,1,2
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\examples\pylab_examples\trigradient_demo.py,47,5,0,1,1
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\examples\pylab_examples\hist2d_log_demo.py,7,2,0,1,1
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\examples\pylab_examples\quadmesh_demo.py,29,6,0,1,1
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\finance.py,522,22,0,3,7
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\projections\polar.py,502,25,0,1,6
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\container.py,90,1,0,1,3
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\projections\geo.py,487,23,0,1,4
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\tests\test_backend_qt4.py,18,6,0,2,2
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\lib\matplotlib\backends\qt4_compat.py,62,8,0,13,13
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\examples\pylab_examples\multipage_pdf.py,30,4,0,1,1
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\examples\pylab_examples\data_helper.py,42,1,0,1,2
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\examples\pylab_examples\boxplot_demo3.py,38,2,0,1,2
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\examples\widgets\lasso_selector_demo.py,64,4,0,3,3
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\examples\showcase\integral_demo.py,37,3,0,1,1
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\examples\user_interfaces\mathtext_wx.py,95,6,0,1,3
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\examples\pylab_examples\image_demo2.py,23,3,0,2,2
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\examples\units\bar_unit_demo.py,20,4,0,1,1
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\examples\mplot3d\lines3d_demo.py,15,4,0,1,1
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\examples\pylab_examples\fancybox_demo2.py,14,2,0,2,2
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\examples\mplot3d\offset_demo.py,13,3,0,1,1
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\examples\mplot3d\subplot3d_demo.py,20,5,0,1,1
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\examples\mplot3d\wire3d_animation_demo.py,28,5,0,3,3
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\examples\pylab_examples\usetex_baseline_test.py,50,4,0,2,2
E:\Source code on python\Graphics\matplotlib\matplotlib-1.3.1\examples\pylab_examples\break.py,4,1,0,1,1
