FileName,File_sloc,File_in_degree,File_out_degree,File_Cyclomatic_Complexity,File_Max_Cyclomatic_Complexity
E:\Source code on python\Science & Engineering\numpy\numpy-1.0.4\numpy\f2py\lib\extgen\py_support.py,972,5,0,2,17
E:\Source code on python\Science & Engineering\numpy\numpy-1.0.4\numpy\distutils\tests\f2py_f90_ext\tests\test_foo.py,10,2,0,2,2
E:\Source code on python\Science & Engineering\numpy\numpy-1.0.4\numpy\f2py\func2subr.py,150,7,4,1,17
E:\Source code on python\Science & Engineering\numpy\numpy-1.0.4\numpy\lib\user_array.py,174,0,0,2,3
E:\Source code on python\Science & Engineering\numpy\numpy-1.0.4\numpy\fft\__init__.py,6,2,0,1,1
E:\Source code on python\Science & Engineering\numpy\numpy-1.0.4\numpy\f2py\lib\parser\test_parser.py,421,4,0,2,6
E:\Source code on python\Science & Engineering\numpy\numpy-1.0.4\numpy\f2py\lib\parser\__init__.py,11,0,0,1,1
E:\Source code on python\Science & Engineering\numpy\numpy-1.0.4\numpy\linalg\setup.py,24,1,0,2,2
E:\Source code on python\Science & Engineering\numpy\numpy-1.0.4\numpy\oldnumeric\fft.py,19,0,0,1,1
E:\Source code on python\Science & Engineering\numpy\numpy-1.0.4\numpy\lib\tests\test_ufunclike.py,58,1,0,2,2
E:\Source code on python\Science & Engineering\numpy\numpy-1.0.4\numpy\distutils\tests\f2py_ext\setup.py,9,1,0,2,2
E:\Source code on python\Science & Engineering\numpy\numpy-1.0.4\numpy\numarray\nd_image.py,13,2,0,3,3
E:\Source code on python\Science & Engineering\numpy\numpy-1.0.4\numpy\oldnumeric\__init__.py,33,12,0,1,3
E:\Source code on python\Science & Engineering\numpy\numpy-1.0.4\numpy\numarray\ufuncs.py,20,0,2,1,1
E:\Source code on python\Science & Engineering\numpy\numpy-1.0.4\numpy\numarray\setup.py,12,2,0,2,2
E:\Source code on python\Science & Engineering\numpy\numpy-1.0.4\numpy\tests\test_ctypeslib.py,58,3,0,2,2
E:\Source code on python\Science & Engineering\numpy\numpy-1.0.4\numpy\oldnumeric\misc.py,33,9,4,1,1
E:\Source code on python\Science & Engineering\numpy\numpy-1.0.4\numpy\distutils\tests\pyrex_ext\setup.py,10,1,0,2,2
E:\Source code on python\Science & Engineering\numpy\numpy-1.0.4\numpy\distutils\fcompiler\lahey.py,39,4,0,2,2
E:\Source code on python\Science & Engineering\numpy\numpy-1.0.4\numpy\distutils\fcompiler\hpux.py,33,3,0,2,2
E:\Source code on python\Science & Engineering\numpy\numpy-1.0.4\numpy\distutils\fcompiler\g95.py,30,2,0,2,2
E:\Source code on python\Science & Engineering\numpy\numpy-1.0.4\numpy\distutils\fcompiler\ibm.py,77,8,0,2,6
E:\Source code on python\Science & Engineering\numpy\numpy-1.0.4\numpy\distutils\conv_template.py,144,3,0,3,6
