FileName,File_sloc,File_in_degree,File_out_degree,File_Cyclomatic_Complexity,File_Max_Cyclomatic_Complexity
E:\Source code on python\Science & Engineering\scipy\scipy-0.12.0\scipy\sparse\linalg\dsolve\umfpack\tests\test_umfpack.py,140,9,0,4,4
E:\Source code on python\Science & Engineering\scipy\scipy-0.12.0\scipy\sparse\linalg\dsolve\umfpack\setupscons.py,10,4,0,2,2
E:\Source code on python\Science & Engineering\scipy\scipy-0.12.0\scipy\weave\tests\test_ast_tools.py,22,5,0,2,2
E:\Source code on python\Science & Engineering\scipy\scipy-0.12.0\scipy\sparse\linalg\eigen\lobpcg\tests\benchmark.py,56,6,0,2,2
E:\Source code on python\Science & Engineering\scipy\scipy-0.12.0\scipy\sparse\linalg\isolve\tests\test_lsqr.py,52,6,0,4,4
E:\Source code on python\Science & Engineering\scipy\scipy-0.12.0\scipy\sparse\linalg\matfuncs.py,138,9,1,1,12
E:\Source code on python\Science & Engineering\scipy\scipy-0.12.0\scipy\sparse\linalg\eigen\lobpcg\tests\large_scale.py,43,4,0,1,1
E:\Source code on python\Science & Engineering\scipy\scipy-0.12.0\scipy\sparse\linalg\isolve\lsqr.py,378,6,0,1,31
E:\Source code on python\Science & Engineering\scipy\scipy-0.12.0\scipy\sparse\sparsetools\coo.py,183,2,1,4,6
E:\Source code on python\Science & Engineering\scipy\scipy-0.12.0\scipy\sparse\csgraph\setup.py,22,7,0,1,1
E:\Source code on python\Science & Engineering\scipy\scipy-0.12.0\scipy\signal\wavelets.py,282,5,1,1,9
E:\Source code on python\Science & Engineering\scipy\scipy-0.12.0\scipy\sparse\csgraph\_validation.py,47,8,0,1,10
E:\Source code on python\Science & Engineering\scipy\scipy-0.12.0\scipy\sparse\linalg\eigen\lobpcg\lobpcg.py,412,8,1,2,44
E:\Source code on python\Science & Engineering\scipy\scipy-0.12.0\scipy\io\tests\test_mmio.py,285,10,0,2,3
E:\Source code on python\Science & Engineering\scipy\scipy-0.12.0\scipy\io\tests\test_idl.py,300,8,0,2,4
E:\Source code on python\Science & Engineering\scipy\scipy-0.12.0\scipy\lib\lapack\setupscons.py,13,6,0,2,2
E:\Source code on python\Science & Engineering\scipy\scipy-0.12.0\scipy\io\setup.py,12,4,0,2,2
E:\Source code on python\Science & Engineering\scipy\scipy-0.12.0\scipy\io\matlab\tests\test_mio_funcs.py,53,12,0,2,4
E:\Source code on python\Science & Engineering\scipy\scipy-0.12.0\scipy\spatial\benchmarks\bench_ckdtree.py,146,6,0,2,3
E:\Source code on python\Science & Engineering\scipy\scipy-0.12.0\scipy\special\__init__.py,423,11,0,1,1
E:\Source code on python\Science & Engineering\scipy\scipy-0.12.0\scipy\sparse\linalg\isolve\minres.py,210,5,0,2,37
E:\Source code on python\Science & Engineering\scipy\scipy-0.12.0\scipy\linalg\clapack.py,12,5,2,2,2
E:\Source code on python\Science & Engineering\scipy\scipy-0.12.0\scipy\linalg\decomp_cholesky.py,233,5,1,1,5
E:\Source code on python\Science & Engineering\scipy\scipy-0.12.0\scipy\weave\examples\vtk_example.py,79,7,0,2,3
E:\Source code on python\Science & Engineering\scipy\scipy-0.12.0\scipy\weave\examples\py_none.py,22,5,0,3,3
E:\Source code on python\Science & Engineering\scipy\scipy-0.12.0\scipy\weave\common_info.py,96,4,3,1,1
